Price,Date,Close,High,Low,Open,Volume
Ticker,,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
0,2015-01-01,440.34344482421875,441.4303869327885,437.1057953800807,439.8578030536106,1772470
1,2015-01-02,446.4718017578125,448.32188694336656,439.58025137965956,439.58025137965956,2950192
2,2015-01-05,442.7022705078125,448.9000389466681,441.7540792653598,448.6456578794494,2398000
3,2015-01-06,435.81072998046875,442.4247794564735,433.63687404959757,441.24535569261576,4109840
4,2015-01-07,437.0826721191406,440.01967137521774,433.03561034025967,434.63131463051667,2873056
5,2015-01-08,446.263671875,448.1600261721954,438.56270904962116,441.36095731163675,4762912
6,2015-01-09,451.2589416503906,453.2708981204313,447.0731010785968,449.98700800770575,4492592
7,2015-01-12,447.2812805175781,450.68082948943305,446.1018566824708,448.3682226637074,2063206
8,2015-01-13,445.5699157714844,449.5476161815163,442.0316445047819,448.1600521796576,2914174
9,2015-01-14,445.8243408203125,450.79644533574884,443.88174550315273,444.04361668372314,1842616
10,2015-01-15,459.3530578613281,461.6887848691698,448.9925690551796,457.89610441888004,5699238
11,2015-01-16,463.1457214355469,469.41290802664525,461.85066736054534,463.5388815031773,3910654
12,2015-01-19,464.6257629394531,471.7717226192567,463.8857401567801,468.6497038666293,2119746
13,2015-01-20,472.21112060546875,475.0093687872689,463.4463364409381,467.14650679176395,4252902
14,2015-01-21,471.74859619140625,477.7613447416697,471.0085451881002,475.1943854538338,3370306
15,2015-01-22,472.34991455078125,477.5532795825524,471.10110129714377,474.0843695613716,3235340
16,2015-01-23,482.3172912597656,484.72237972012795,473.80688704135645,476.3969953356219,4993956
17,2015-01-27,496.7709655761719,498.4822715979373,481.438375018576,482.40965834066213,4981200
18,2015-01-28,489.5094299316406,505.6282867141139,487.9599947946961,494.8978146259003,5682470
19,2015-01-29,506.4609375,509.05104607098724,490.73520976027396,497.2105094178082,10283808
20,2015-01-30,498.2973937988281,506.25279535259864,492.2383750572621,506.25279535259864,5285208
21,2015-02-02,500.2630615234375,505.5358160015719,486.734312559077,494.2040433647572,2855176
22,2015-02-03,492.1689453125,500.54057025254156,488.0987914072384,498.829263883075,5100344
23,2015-02-04,493.8339538574219,499.8930278645002,489.0006290088444,491.66012640000145,3098756
24,2015-02-05,497.9042663574219,505.44338744739656,495.0597485738975,497.2104842863247,4029574
25,2015-02-06,487.2662048339844,499.03734970415974,485.67052888298093,498.135455724918,3451560
26,2015-02-09,481.0684509277344,486.45683601541407,478.4783426269987,484.2598595751258,2615948
27,2015-02-10,487.7056579589844,491.336496044973,476.3970325376526,476.3970325376526,4637876
28,2015-02-11,489.5325927734375,492.49274061259104,487.03496626977284,489.34757294721715,2080794
29,2015-02-12,497.6729431152344,500.4018302105859,486.8961737146567,492.63144940689386,2762870
30,2015-02-13,492.95526123046875,500.4480842704312,491.9376804178002,500.0780446185292,3857250
31,2015-02-16,493.76458740234375,501.8355607024059,491.42883248507496,497.58038774869846,3694358
32,2015-02-18,497.1179504394531,500.88745412883617,488.90819679279014,493.764670780957,2690846
33,2015-02-19,499.4305114746094,501.7893587613427,492.03017083537156,496.7478654088383,2253502
34,2015-02-20,496.3085021972656,504.10197478901483,494.2040077039497,500.91056653568324,3103012
35,2015-02-23,493.741455078125,500.23990149715746,491.1975880964578,498.1816479722845,2790782
36,2015-02-24,493.8109436035156,495.36037887473043,488.9313206486632,495.03663650526846,2923144
37,2015-02-25,486.7806091308594,497.11800725523517,485.64745432149454,494.8978820228563,2324262
38,2015-02-26,480.1665344238281,488.42252894782484,478.7558217703744,487.335615104407,6213472
39,2015-02-27,487.49749755859375,489.6019922620855,483.5429174753729,483.5429174753729,5130892
40,2015-03-02,500.70257568359375,508.31103030473884,493.97286657457784,499.68499470408307,7192616
41,2015-03-03,501.0724182128906,505.07323858343676,498.1585680202104,502.5062228912048,3014674
42,2015-03-04,492.7239074707031,513.0748423576016,490.2725222752814,511.0859784096094,6138812
43,2015-03-05,501.8818664550781,504.14823218536685,491.4288960522498,492.5851993370786,4851226
44,2015-03-09,489.81005859375,500.3555668585699,488.42249468838526,498.15859067507574,2877904
45,2015-03-10,486.8267517089844,491.3131851341666,483.3346937775515,491.1975548246504,2567418
46,2015-03-11,488.6305847167969,491.1513595742574,485.64734503846466,486.06362548337825,2732768
47,2015-03-12,487.7750244140625,492.0764957294494,486.1561996226996,490.31889194334707,3765418
48,2015-03-13,482.2478332519531,492.1226514797535,478.5245142915787,490.27256632381454,2713390
49,2015-03-16,486.36431884765625,489.3013179510233,482.17847829852184,483.33478160379406,2674386
50,2015-03-17,489.3707580566406,493.0015395187002,482.34039935736695,490.27265214398636,2684652
51,2015-03-18,491.9145812988281,495.7766230981188,487.12744038281187,490.34199749057933,2574166
52,2015-03-19,486.6649169921875,496.65542280925627,485.0460923499932,495.3603405114517,2686786
53,2015-03-20,488.37628173828125,490.0413472277762,483.77416064661855,486.1099159380772,3241618
54,2015-03-23,484.6067199707031,489.9951047179018,483.79730764911045,488.3993722649739,2723370
55,2015-03-24,480.0740051269531,488.88505929045743,478.91770177006936,482.5485394787843,4486782
56,2015-03-25,478.3627014160156,484.1210695814259,476.9057478861753,481.04534780302714,5304450
57,2015-03-26,465.73583984375,477.41447471860323,463.4925945469481,474.96314564592166,17900310
58,2015-03-27,469.2972106933594,473.4136329951335,466.2676738373193,469.43596142621783,5420448
59,2015-03-30,479.58831787109375,480.559601249546,468.44153828617334,471.77169708810095,3477572
60,2015-03-31,473.02056884765625,480.9759413530294,469.3897594767134,480.9759413530294,2981128
61,2015-04-01,477.9001770019531,479.5652425424537,468.5341198189969,474.5931381119955,1922098
62,2015-04-06,477.2988586425781,479.565224426594,471.6792414831262,478.7095712675606,3575586
63,2015-04-07,477.66888427734375,480.1896028400506,473.4599516362536,477.90014493300936,3098536
64,2015-04-08,478.9639892578125,482.1553412893166,476.4201219247955,481.04533525755363,2053072
65,2015-04-09,488.46875,489.8100731069536,476.3969549576603,480.2127558104765,3501392
